substrate,met_id,o2_bound,o2_percent,o2_flux,growth_rate,biomass_c,co2_flux,organic_c_flux,c_ex_fluxes,cue,bge,gge
Alanine,cpd00035,50.0,190.02180973895787,-26.313,0.724,31.112,28.864,0.028,"{'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.519,0.519,0.519
Alanine,cpd00035,40.0,152.01744779116632,-26.313,0.724,31.112,28.864,0.028,"{'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.519,0.519,0.519
Alanine,cpd00035,30.0,114.01308584337472,-26.313,0.724,31.112,28.864,0.028,"{'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.519,0.519,0.519
Alanine,cpd00035,20.0,76.00872389558316,-20.0,0.585,25.144,22.061,12.797,"{'EX_cpd00029_e0': 12.775, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.632,0.533,0.419
Alanine,cpd00035,10.0,38.00436194779158,-10.0,0.362,15.543,16.425,28.034,"{'EX_cpd00029_e0': 28.02, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.726,0.486,0.259
Alanine,cpd00035,1.0,3.8004361947791576,-1.0,0.156,6.697,18.46,34.844,"{'EX_cpd00029_e0': 34.838, 'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.692,0.266,0.112
Proline,cpd00129,2.826117563588257,10.0,-2.826,0.153,6.586,15.499,6.871,"{'EX_cpd00029_e0': 6.865, 'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.465,0.298,0.227
Proline,cpd00129,5.652235127176514,20.0,-5.652,0.363,15.604,30.459,12.105,"{'EX_cpd00029_e0': 12.091, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.476,0.339,0.268
Proline,cpd00129,8.47835269076477,30.0,-8.478,0.438,18.818,30.645,10.54,"{'EX_cpd00029_e0': 10.523, 'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.489,0.38,0.314
Proline,cpd00129,11.304470254353028,40.0,-11.304,0.503,21.6,29.853,8.55,"{'EX_cpd00029_e0': 8.531, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.502,0.42,0.36
Proline,cpd00129,14.130587817941285,50.0,-14.131,0.568,24.382,29.061,6.56,"{'EX_cpd00029_e0': 6.538, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.516,0.456,0.406
Proline,cpd00129,16.95670538152954,60.0,-16.957,0.632,27.163,28.27,4.57,"{'EX_cpd00029_e0': 4.546, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.529,0.49,0.453
Proline,cpd00129,19.782822945117797,70.0,-19.783,0.697,29.945,27.478,2.58,"{'EX_cpd00029_e0': 2.553, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.542,0.521,0.499
Proline,cpd00129,22.608940508706056,80.0,-22.609,0.762,32.727,26.686,0.59,"{'EX_cpd00029_e0': 0.561, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.555,0.551,0.545
Proline,cpd00129,25.435058072294314,90.0,-25.435,0.811,34.838,25.1,0.066,"{'EX_cpd00047_e0': 0.035, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.582,0.581,0.581
Proline,cpd00129,28.26117563588257,100.0,-28.261,0.811,34.838,25.1,0.066,"{'EX_cpd00047_e0': 0.035, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.582,0.581,0.581
Proline,cpd00129,50.0,176.92116083280038,-28.261,0.811,34.838,25.1,0.066,"{'EX_cpd00047_e0': 0.035, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.582,0.581,0.581
