id	name	reason	replaced_by	pr	date	notes
rxn06377_c0	glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating) [c0]	id_changed	rxn09499_c0	#108	2025-03-11	fix: replaced lipoylprotein metabolites with lipoamide equivalents in glycine cleavage system reactions and adjusted reaction IDs accordingl
rxn00309_c0	L-Lysine:NAD+ 6-oxidoreductase (deaminating) [c0]	unknown		#312	2025-10-29	fix: remove rxn00309_c0 and rxn01662_c0
rxn00317_c0	L-Lysine:2-oxoglutarate 6-aminotransferase [c0]	unknown		#283	2025-10-06	fix: remove rxn00317_c0 and WP_197047972.1
rxn06600_c0	S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) [c0]	id_changed	rxn09498_c0	#108	2025-03-11	fix: replaced lipoylprotein metabolites with lipoamide equivalents in glycine cleavage system reactions and adjusted reaction IDs accordingl
rxn07979_c0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0) [c0]	duplicate	rxn05462_c0	#150	2025-03-27	"fix: removed duplicate dead-end reactions and metabolites rxn07979_c0, cpd15572_c0, cpd15371_c0"
rxn00499_c0	(S)-Lactate:NAD+ oxidoreductase [c0]	unknown		#245	2025-09-15	"fix: correct GPRs for rxn00145_c0, rxn08792_c0, and rxn08793_c0 & remove rxn00499_c0"
rxn00551_c0	diphosphate:D-fructose-6-phosphate 1-phosphotransferase [c0]	unknown		#340	2025-12-18	fix: remove rxn00551_c0
rxn00569_c0	Nitrite reductase (NAD(P)H) [c0]	unknown		#299	2025-10-22	fix: nitrate/nitrite redox reactions
rxn00656_c0	L-Alanine:3-oxopropanoate aminotransferase [c0]	unknown		#291	2025-10-21	"fix: remove rxn00656_c0, rxn24212_c0, and WP_197047972.1"
rxn00668_c0	propanoyl-CoA:NADP+ 2-oxidoreductase [c0]	unknown		#286	2025-10-10	"fix: add rxn16586_c0 and WP_049586872.1, remove rxn00668_c0, cpd00663_c0, and WP_049586872.1"
rxn00782_c0	D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating) [c0]	unknown		#344	2026-01-06	fix: remove rxn00782
rxn17275_c0	"PAPS reductase, thioredoxin-dependent [c0]"	duplicate	rxn05239_c0	#181	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions
rxn01032_c0	Benzaldehyde:NAD+ oxidoreductase [c0]	unknown		#316	2025-10-31	"fix: remove rxn00196, rxn01032, rxn01033, rxn08703, rxn37372, cpd00225, cpd00340, cpd02027"
rxn01084_c0	ATP:cob(I)alamin Co-beta-adenosyltransferase [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
rxn01103_c0	3-Phospho-D-glyceroyl phosphate phosphohydrolase [c0]	unknown		#292	2025-10-21	"fix: remove rxn00227_c0, rxn01103_c0, and WP_015066019.1"
rxn01108_c0	beta-D-Glucose:NAD+ 1-oxoreductase [c0]	out_of_scope		#211	2025-04-21	fix: remove unnecessary anomer-specific glucose reactions and metabolites
rxn01109_c0	beta-D-Glucose:NADP+ 1-oxoreductase [c0]	out_of_scope		#211	2025-04-21	fix: remove unnecessary anomer-specific glucose reactions and metabolites
rxn01171_c0	D-glucose 1-epimerase [c0]	out_of_scope		#211	2025-04-21	fix: remove unnecessary anomer-specific glucose reactions and metabolites
rxn01203_c0	R01647 [c0]	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn01285_c0	"(R,R)-tartrate carboxy-lyase (D-glycerate-forming) [c0]"	unknown		#305	2025-10-24	"fix: remove reactions rxn01285_c0, rxn01894_c0, rxn02788_c0 and associated metabolites & genes"
