,PC1,PC2,PC3,PC4,PC5
rxn08551_c0,4.221862651785641e-20,-9.539098612068926e-19,7.000499942903586e-19,-2.2135231367371583e-19,8.12206951474995e-19
rxn00679_c0,0.02552826495307849,-0.035206884803765014,-0.10867604567613541,-0.10184542207644919,0.04232386952614888
rxn00272_c0,-0.0109840333889329,-0.017809529183804816,0.014528419473155828,-0.03121990055222207,0.016921667723619423
rxn05595_c0,6.662547641349926e-21,-7.552654949856578e-21,-1.2625041474242317e-20,5.163827872568692e-21,-9.649460272113575e-21
rxn05348_c0,8.494853155188279e-19,6.83485310326767e-18,-1.132257511720129e-17,3.992689038359847e-19,2.1951705503294064e-17
rxn11946_c0,0.1209593219840405,-0.029413054645633527,0.020803839540327454,0.004186731716181142,-0.021417659837760235
rxn01504_c0,0.010613941479087606,0.11535383928156878,-0.04201501101330593,-0.05002431813135913,0.004124514435724508
rxn00907_c0,-0.07164525542375008,-0.09199883108834918,0.03575025040486051,-0.005710814492841443,0.0068536385504431
rxn02404_c0,5.026223506862752e-19,-2.0117687903901554e-19,8.330439210049465e-19,1.7427909091404197e-19,-8.150664047931452e-20
rxn09188_c0,-0.03053992104354196,0.014125642899647805,0.08870804164568358,0.06713849053158738,-0.012279306440393583
rxn08822_c0,-1.4105262686789227e-19,2.631103342358006e-19,-1.5828762284661042e-19,-3.872277559316478e-19,-2.0620313594736983e-19
rxn05030_c0,3.2865127975876923e-19,-9.973326120964156e-20,-5.323261773125847e-22,-3.15996942699455e-19,5.856366444475496e-19
rxn05345_c0,-3.098343511662916e-18,5.628514270139224e-18,-1.0540262266477014e-17,1.677988409277407e-18,2.118980453312189e-17
rxn00336_c0,-0.0005435675258506184,-0.05633829363108309,0.054431073687799966,0.02826749624204842,-0.10000393884015268
rxn01465_c0,2.588705426593682e-18,-2.5039014010967357e-18,1.2908513276548866e-18,1.2685737752855705e-18,2.5994995507031357e-19
rxn01872_c0,0.054058029625582676,-0.06366621499337025,-0.03705615409168576,0.0027136507714683854,0.07080342485552996
rxn01301_c0,-0.02071167215016711,0.01048968979826823,0.010697184363201679,0.015674033381679563,-0.008152989632843721
rxn01643_c0,7.476904431078352e-19,-4.665508714344211e-19,2.0924055150923903e-19,-8.468331164062822e-19,-7.353631616231669e-18
rxn00248_c0,-0.04828811119434179,0.018501167088805618,-0.06087205179768378,0.03056875031253322,-0.09135577006451996
rxn00289_c0,0.02552826495307849,-0.035206884803765014,-0.1086760456761354,-0.10184542207644919,0.04232386952614888
rxn35552_c0,-0.010613941479087606,-0.11535383928156878,0.04201501101330593,0.05002431813135913,-0.004124514435724508
rxn01269_c0,0.02838903235928293,-0.06673084478344639,-0.03583659716661659,-0.02517766858895274,0.010931152979470712
rxn00392_c0,-0.010571360237060415,-0.1156226770509181,0.040543484299843564,0.049506819876338405,-0.0047918000274493845
rxn00747_c0,-0.01948213047655233,-0.04123009568428044,-0.10154704884056832,0.03864806867840907,-0.11346737740692123
rxn00029_c0,5.893768683022116e-20,-1.9029012821912946e-20,-4.776029255139846e-20,-1.6831503514133128e-19,5.752667495277356e-20
rxn09128_c0,-3.7449207078877303e-19,3.874245175401362e-19,-3.464990829982527e-19,4.8104255713991734e-20,-5.563844199480778e-19
rxn05256_c0,-0.006316760449408765,0.02554213236178346,-0.006235863914874514,0.01467659734752501,0.03855640035341396
rxn02175_c0,-0.025224512426888133,-0.11011274665948483,0.04027201259390021,0.04074497596604931,0.013378016481735333
rxn02835_c0,1.5766820956793575e-19,-3.140324243706247e-19,6.271731065520228e-20,-3.6194440579694575e-19,9.758769567944414e-20
rxn02774_c0,2.2899196161350734e-21,-1.711517068705348e-20,-1.7726013166599184e-20,-1.0418617916546825e-21,2.237514599353568e-21
rxn01575_c0,0.012657532761822476,-0.02299254286738223,-0.01479112254916019,-0.022883688668879295,-0.04211031289476784
rxn00555_c0,1.0052385848700289e-19,-2.1024641340064099e-19,2.8844721703886e-19,2.1020367021548788e-19,-4.85470585944154e-19
rxn03435_c0,0.01170357277078091,-0.02717341614536729,-0.03555751481931325,-0.03168735148648801,0.03581615232100369
rxn03080_c0,-2.1361949501039912e-19,-2.953486164486829e-18,9.888311244049093e-19,1.2365084853591386e-18,-1.0603079854794694e-19
rxn00849_c0,-0.0160501032783432,-0.030298192005289132,-0.06607437043422369,0.018654535742258362,-0.11355745310780654
rxn00737_c0,-0.011703572770780928,0.027173416145367297,0.035557514819313206,0.03168735148648799,-0.03581615232100368
rxn01256_c0,0.12096056167954114,-0.02941168137894754,0.02085490649062387,0.004207240014182585,-0.021409867810669895
rxn01629_c0,-1.7906587470385307e-19,1.6464066744670562e-19,1.4129051204070547e-19,2.1747926055743052e-20,-2.0710780744407478e-20
rxn00777_c0,-0.12096056167932259,0.02941168138004071,-0.0208549064890513,-0.00420724001519131,0.021409867811146805
rxn01740_c0,-0.12096056167954124,0.029411681378947528,-0.02085490649062412,-0.004207240014182744,0.021409867810669996
rxn05327_c0,7.4881072919464e-19,8.34313067376886e-18,-9.264599783130755e-18,-1.1081751056165538e-18,2.1931771353479465e-17
rxn08801_c0,2.8210525373578454e-19,-5.262206684716012e-19,3.1657524569322083e-19,7.744555118632956e-19,4.1240627189473967e-19
rxn00251_c0,-0.0032569219960492035,0.01994039065467757,-0.047441056381763255,0.09034396763752534,-0.038832116383709314
rxn00139_c0,0.12074549678063992,-0.023241486015674953,0.02850347398342906,0.0013876983443615641,-0.02770368026612368
rxn00790_c0,-0.07163035519442104,-0.09195839533297497,0.035678206651585595,-0.005814581150598929,0.006897175699682818
rxn03910_c0,0.12091209964796089,-0.02947269902626354,0.01964297715914413,0.003957229064442629,-0.02021230044203681
rxn00237_c0,-0.07163802735034336,-0.09195711470761746,0.03573997094901747,-0.005813126344526432,0.00690549151722061
rxn08311_c0,1.4158843664831094e-19,-3.994723946807696e-19,-1.592594978258525e-20,2.6678028361787954e-19,3.8532123072000794e-19
rxn03175_c0,1.0795126034959467e-19,-1.0770269335401725e-19,1.3814265848313068e-19,-1.4875126895215815e-19,-3.0072074160968566e-19
rxn05336_c0,5.1313114001499074e-18,-7.154661219341724e-18,1.0406218958258748e-17,-2.126583891591712e-18,-2.2198105833537024e-17
rxn09210_c0,6.63524886524114e-20,-1.6902101997660688e-19,1.2791273514739202e-19,1.3125084960709568e-19,6.844197669919039e-20
