CleanName,Method,replicateID,timepoint,nM
glycerol_3_phosphate,AN,A,24,2.268492715
glycerol_3_phosphate,AN,B,24,5.459517804
glycerol_3_phosphate,AN,C,24,3.606439694
glycerol_3_phosphate,AN,A,16,0.055985192
glycerol_3_phosphate,AN,C,16,0.055985192
glycerol_3_phosphate,AN,B,16,0.055985192
glycerol_3_phosphate,AN,C,22,3.485045164
glycerol_3_phosphate,AN,B,22,3.820956487
glycerol_3_phosphate,AN,A,22,3.611172438
glycerol_3_phosphate,AN,C,2,2.834996993
glycerol_3_phosphate,AN,A,2,2.182813528
glycerol_3_phosphate,AN,B,2,4.274651299
glycerol_3_phosphate,AN,B,46,5.877734563
glycerol_3_phosphate,AN,A,46,5.605882671
glycerol_3_phosphate,AN,C,46,5.915809447
glycerol_3_phosphate,AN,B,34,6.093199401
glycerol_3_phosphate,AN,A,34,6.721239436
glycerol_3_phosphate,AN,C,34,5.928703607
glycerol_3_phosphate,AN,B,44,8.15163815
glycerol_3_phosphate,AN,A,44,4.7363223
glycerol_3_phosphate,AN,C,44,5.202472624
glycerol_3_phosphate,AN,C,8,0.055985192
glycerol_3_phosphate,AN,B,8,0.055985192
glycerol_3_phosphate,AN,A,8,0.055985192
glycerol_3_phosphate,AN,B,12,5.755902661
glycerol_3_phosphate,AN,A,12,4.239335154
glycerol_3_phosphate,AN,C,12,7.765965536
glycerol_3_phosphate,AN,A,6,3.429627141
glycerol_3_phosphate,AN,C,6,4.332387583
glycerol_3_phosphate,AN,B,6,1.099346452
glycerol_3_phosphate,AN,A,0,1.160067975
glycerol_3_phosphate,AN,C,0,4.150861335
glycerol_3_phosphate,AN,B,0,4.007792746
glycerol_3_phosphate,AN,C,20,2.680109433
glycerol_3_phosphate,AN,B,20,4.684809199
glycerol_3_phosphate,AN,A,20,4.498203436
glycerol_3_phosphate,AN,B,38,9.410701746
glycerol_3_phosphate,AN,A,38,6.997647006
glycerol_3_phosphate,AN,C,38,6.955394988
glycerol_3_phosphate,AN,C,42,6.792832142
glycerol_3_phosphate,AN,A,42,8.773009214
