ids,glutamic acid,alanine,valine,aspartate,isoleucine,leucine,glycine,proline,cocktail,reaction_name,reaction_string
EX_cpd10516_e0,0.0,0.0,1.7997639014465963e-28,0.0,1.6907013599567346e-28,-9.292401509250419e-30,0.0,2.635831389704112e-29,0.0,Exchange for fe3 [e0],fe3 [e0] <=> 
rxn05460_c0,5.184522683173944e-16,3.4590050564601655e-17,1.4336188980902107e-16,4.522145152872871e-16,-5.919752143098357e-17,2.4402883406549985e-16,-4.957805062974264e-19,-4.201300999245962e-16,-3.528569677375366e-15,3-Oxooctodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0],H+ + Hexadecanoyl-ACP + Malonyl-ACP --> CO2 + ACP + 3-Oxooctadecanoyl-ACP
rxn10480_c0,7.534589096921934e-16,4.3825297893272077e-16,1.1004498672451158e-16,-2.278764807796757e-16,-3.876132861389722e-16,-9.37268100789491e-17,3.9465785733652734e-16,7.423580950241997e-18,-5.4845789833288164e-17,CO transporter via diffusion,CO <=> CO [e0]
rxn03907_c0,-1.4766551303603664e-16,8.678462309844261e-16,3.3865884848235726e-17,7.65298843879052e-17,4.7588575114343506e-17,2.0464546881675367e-16,2.6310523822435163e-16,-1.715019056610501e-16,-6.957941318889328e-16,CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase [c0],CTP + 2-C-methyl-D-erythritol4-phosphate --> PPi + 4--cytidine5-diphospho-2-C-methyl-D-erythritol
rxn00974_c0,0.7055933524937671,0.5366178427876498,0.4883750844597124,0.5782627592454755,0.5380756794104806,3.2468942003362145e-14,0.5545565160160064,0.7005050749790929,0.6438667354517975,citrate hydro-lyase (cis-aconitate-forming) [c0],Citrate <=> H2O + cis-Aconitate
rxn01213_c0,-6.246149353021146e-16,-3.5644666523086553e-16,-3.0319367653610115e-16,-1.7932796833464296e-16,-5.621430321061775e-16,2.525487043189903e-16,-1.3155261911217581e-16,-9.624872281539832e-17,-1.100747902681871e-16,Geranyl diphosphate synthase,Isopentenyldiphosphate + DMAPP --> PPi + H+ + Geranyldiphosphate
rxn11663_c0,-1.5256983222787644e-15,-9.8463558423445e-17,1.175671784008244e-17,4.836307305887723e-16,2.0962851351085826e-16,1.1437992816896799e-16,-9.946489141840256e-16,-1.022849673237236e-17,-3.6814450497244463e-16,4-(phosphonooxy)threonine:NAD oxidoreductase [c0],NAD + 4-(Phosphonooxy)-threonine --> NADH + CO2 + 3-Amino-2-oxopropyl phosphate
rxn01466_c0,1.6208602250258062e-16,2.0866754279286374e-16,-3.3942179580590476e-16,-2.3664200110797947e-16,6.251967685271378e-17,5.430898110003875e-16,1.2941611489203586e-16,7.150925697789871e-16,-1.6296474526725837e-15,Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase [c0],Isopentenyldiphosphate + Geranyldiphosphate --> PPi + H+ + Farnesyldiphosphate
rxn43657_c0,4.636450043280974e-16,-4.541668519941176e-16,-5.4242617049473523e-17,-5.662094835122547e-16,5.7752680565732695e-16,4.702906922390313e-16,1.2941611489203586e-16,5.832697690191385e-16,-4.62719741780103e-16,Zn2+:proton symport [c0],Zn2+ [e0] + H+ [e0] --> Zn2+ + H+
rxn03445_c0,6.538949670104716e-16,-3.4043927079174814e-16,-3.293522881699685e-16,1.0150674871342304e-16,-1.1343847446826387e-16,-4.4170447455348046e-16,-2.3533497173562663e-16,2.336872731718791e-16,-4.62719741780103e-16,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase [c0],2-Oxoglutarate + 4-(Phosphonooxy)-threonine <=> L-Glutamate + 2-Oxo-3-hydroxy-4-phosphobutanoate
rxn09498_c0,0.709528204285032,0.5854568237974651,0.5199776158037713,0.6106959003944228,0.5729582543713105,0.4992881333706833,1.0349518122344155e-14,0.7022275988679518,0.6477702007735998,S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) [c0],Tetrahydrofolate + S-Aminomethyldihydrolipoamide --> NH3 + 5-10-Methylenetetrahydrofolate + Protein N6-(dihydrolipoyl)lysine
rxn09202_c0,-2.210210480812463e-16,-2.655274194229435e-16,-3.293522881699685e-16,4.546617045374101e-16,-4.507409099677993e-16,-1.2769350809402776e-16,4.51766767213102e-16,-5.638237585310264e-16,-4.627197417800965e-16,Phosphatidylserine decarboxylase (n-C18:0) [c0],2.0 H+ + phosphatidylserine dioctadecanoyl --> CO2 + phosphatidylethanolamine dioctadecanoyl
rxn05329_c0,-2.3303039788500863e-16,-5.060015591000004e-16,-3.3207450644112943e-16,1.8794782384311184e-16,-5.886361045660037e-17,1.10728420684685e-16,5.575275680941218e-16,4.275104802137277e-16,2.7166140394728404e-15,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase [c0],(3R)-3-Hydroxybutanoyl-ACP <=> H2O + (2E)-Butenoyl-ACP
