,source,target
554,rxn03439_c0,rxn02405_c0
555,rxn03439_c0,rxn06865_c0
556,rxn03439_c0,rxn03182_c0
557,rxn03439_c0,rxn16609_c0
558,rxn09260_c0,rxn00383_c0
559,rxn09260_c0,rxn00623_c0
560,rxn09260_c0,rxn09069_c0
561,rxn09260_c0,rxn05239_c0
562,rxn09260_c0,EX_cpd00081_e0
563,rxn09260_c0,rxn06078_c0
564,rxn09260_c0,rxn07450_c0
565,rxn09260_c0,rxn01416_c0
566,rxn10266_c0,rxn10260_c0
567,rxn09330_c0,rxn06078_c0
568,rxn09330_c0,rxn01416_c0
569,rxn09330_c0,EX_cpd00268_e0
570,rxn06023_c0,rxn08017_c0
571,rxn06023_c0,rxn05343_c0
572,rxn06023_c0,rxn08551_c0
573,rxn06023_c0,rxn05239_c0
574,rxn06023_c0,octanoyl_xfer
575,rxn06023_c0,rxn08021_c0
576,rxn06023_c0,rxn05349_c0
577,rxn06023_c0,rxn05348_c0
578,rxn06023_c0,rxn06022_c0
579,rxn06023_c0,rxn08546_c0
580,rxn06023_c0,rxn43470_c0
581,rxn06023_c0,rxn05344_c0
582,rxn06023_c0,rxn06729_c0
583,rxn06023_c0,rxn05347_c0
584,rxn06023_c0,rxn05345_c0
585,rxn06023_c0,rxn08548_c0
586,rxn06023_c0,rxn09069_c0
587,rxn06023_c0,rxn00137_c0
588,rxn06023_c0,rxn05457_c0
589,rxn06023_c0,rxn05458_c0
590,rxn06023_c0,rxn08547_c0
591,rxn06023_c0,rxn21860_c0
592,rxn06023_c0,rxn08089_c0
593,rxn06023_c0,rxn08020_c0
594,rxn06023_c0,rxn08550_c0
595,rxn06023_c0,rxn47768_c0
596,rxn06023_c0,rxn08015_c0
597,rxn06023_c0,rxn06723_c0
598,rxn06023_c0,rxn05460_c0
599,rxn06023_c0,rxn06865_c0
600,rxn03394_c0,rxn03393_c0
601,rxn03394_c0,rxn03395_c0
602,rxn02517_c0,rxn02518_c0
603,rxn08527_c0,rxn08971_c0
604,rxn08527_c0,rxn08793_c0
605,rxn08527_c0,rxn08336_c0
606,rxn08527_c0,rxn09003_c0
607,rxn08527_c0,rxn14420_c0
608,bio1_biomass,rxn03901_c0
609,bio1_biomass,rxn05618_c0
610,bio1_biomass,rxn05295_c0
611,bio1_biomass,rxn15947_c0
612,bio1_biomass,rxn02056_c0
613,bio1_biomass,rxn15949_c0
614,bio1_biomass,rxn05195_c0
615,bio1_biomass,fe3_reduction
616,bio1_biomass,rxn05030_c0
617,bio1_biomass,rxn09106_c0
618,bio1_biomass,rxn00224_c0
619,bio1_biomass,rxn00056_c0
620,bio1_biomass,rxn10199_c0
621,bio1_biomass,FeS_cluster_biosynth
622,bio1_biomass,DM_cpd11416_c0
623,bio1_biomass,rxn05294_c0
624,bio1_biomass,rxn08234_c0
625,bio1_biomass,rxn05616_c0
626,bio1_biomass,rxn00209_c0
627,bio1_biomass,lipoyl_synth
628,bio1_biomass,rxn05148_c0
629,bio1_biomass,rxn05514_c0
630,bio1_biomass,rxn05120_c0
631,bio1_biomass,rxn09202_c0
632,bio1_biomass,rxn00853_c0
633,bio1_biomass,rxn00208_c0
634,bio1_biomass,rxn06865_c0
635,rxn10265_c0,rxn10259_c0
636,rxn02680_c0,rxn02679_c0
637,rxn02680_c0,rxn03244_c0
638,rxn00792_c0,rxn17731_c0
639,rxn10270_c0,rxn10264_c0
640,rxn12846_c0,rxn00493_c0
641,rxn12846_c0,rxn04989_c0
642,rxn10258_c0,rxn10225_c0
643,rxn21858_c0,rxn21857_c0
644,rxn00867_c0,rxn02085_c0
645,rxn00867_c0,rxn00863_c0
646,rxn00867_c0,rxn12642_c0
647,rxn09069_c0,rxn00383_c0
648,rxn09069_c0,rxn09234_c0
649,rxn09069_c0,rxn09232_c0
650,rxn09069_c0,rxn00623_c0
651,rxn09069_c0,rxn05239_c0
652,rxn09069_c0,rxn00137_c0
653,rxn09069_c0,rxn06078_c0
654,rxn09069_c0,rxn43470_c0
655,rxn09069_c0,rxn07450_c0
656,rxn09069_c0,rxn01416_c0
657,rxn00383_c0,rxn00623_c0
658,rxn00383_c0,rxn05239_c0
659,rxn00383_c0,rxn06078_c0
660,rxn00383_c0,rxn07450_c0
661,rxn00383_c0,rxn01416_c0
662,rxn10262_c0,rxn10223_c0
663,rxn14412_c0,rxn14415_c0
664,rxn14412_c0,rxn14427_c0
665,rxn14412_c0,rxn00145_c0
666,rxn05740_c0,DM_cpd15302_c0
667,rxn05740_c0,rxn08615_c0
668,rxn10296_c0,rxn10297_c0
669,rxn10296_c0,rxn10314_c0
670,rxn10296_c0,rxn10192_c0
671,rxn10296_c0,rxn10294_c0
672,rxn10296_c0,rxn10293_c0
673,rxn10296_c0,rxn10291_c0
674,rxn10296_c0,rxn10290_c0
675,rxn10296_c0,rxn10292_c0
676,rxn10296_c0,rxn10295_c0
677,rxn10296_c0,rxn10289_c0
678,rxn08442_c0,rxn08805_c0
679,rxn08442_c0,rxn08819_c0
680,rxn08442_c0,rxn08015_c0
681,rxn08442_c0,rxn08840_c0
682,rxn08442_c0,rxn08812_c0
683,rxn08442_c0,rxn08847_c0
684,rxn05343_c0,rxn08017_c0
685,rxn05343_c0,rxn08551_c0
686,rxn05343_c0,octanoyl_xfer
